,Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado (Transfermarkt),Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,Duelos ganados %,País de nacimiento,Pasaporte,Pie,Altura,Peso,En prestamo,Acciones defensivas realizadas/90,Duelos defensivos/90,Duelos defensivos ganados %,Duelos aéreos/90,Duelos aéreos ganados %,Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,Tiros a la portería %,Goles hechos %,Asistencias/90,Centros/90,Precisión centros %,Centros desde la banda izquierda/90,Precisión centros desde la banda izquierda %,Centros desde la banda derecha/90,Precisión centros desde la banda derecha %,Centros al área pequeña/90,Regates/90,Regates realizados %,Duelos atacantes/90,Duelos atacantes ganados %,Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos/90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,Precisión pases %,Pases hacia adelante/90,Precisión pases hacia adelante %,Pases hacia atrás/90,Precision pases hacia atrás %,Pases laterales/90,Precisión pases laterales %,Pases cortos / medios/90,Precisión pases cortos / medios %,Pases largos/90,Precisión pases largos %,"Longitud media pases, m","Longitud media pases largos, m",xA/90,Second assists/90,Third assists/90,Desmarques/90,Precisión desmarques %,Jugadas claves/90,Pases en el último tercio/90,Precisión pases en el último tercio %,Pases al área de penalti/90,Pases hacía el área pequeña %,Pases en profundidad/90,Precisión pases en profundidad %,Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,Precisión pases progresivos %,Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas/90,Paradas %,xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Tiros libres/90,Tiros libres directos/90,Tiros libres directos %,Córneres/90,Penaltis a favor,Penaltis realizados %,Competición,Temporada,Pais_Comp,Asistencias/90.1,Duelos aéreos/90.1,Flag,Posición Principal,Fecha_Actualizacion
0,D. García,Numancia,Numancia,CF,27,300000,2026-06-30,24,1237,3,3.22,0,0.71,11.79,37.04,Spain,Spain,ambidiestro,180,72,no,2.62,2.62,50.0,1.82,20.0,0.15,0.22,0.22,1.16,1.78,1.09,3,0.22,0,0.0,1.75,0.22,3,0.22,0.23,1,0.07,17,1.24,35.29,17.647,0.0,1.31,22.22,0.65,11.11,0.65,33.33,0.0,1.46,70.0,4.87,34.33,2.26,0.73,0.0,9.24,1.38,0.65,15.5,74.65,2.69,54.05,5.17,91.55,3.93,66.67,13.61,80.21,0.58,62.5,16.68,8.28,0.05,0.07,0.0,0.0,0.0,0.07,1.02,57.14,1.09,33.33,0.07,100.0,0.15,0.36,1.16,75.0,0,,0,,0,0.0,0.0,0.0,,,0.07,,0.36,0.15,0.0,0.07,1,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
1,Javi Delgado,Salamanca CF UDS,Salamanca CF UDS,"CF, AMF",30,250000,2026-06-30,12,801,6,4.13,1,0.5,23.15,32.52,Spain,Spain,derecho,188,74,no,2.02,3.03,48.15,2.81,52.0,0.0,0.0,0.0,0.56,0.77,2.02,1,0.11,0,0.0,2.47,0.67,6,0.67,0.46,0,0.0,25,2.81,40.0,24.0,0.11,1.69,20.0,0.56,40.0,1.12,10.0,0.34,1.8,56.25,12.81,28.95,3.71,1.01,0.0,8.2,1.57,0.9,16.52,68.03,3.37,60.0,5.06,86.67,4.49,62.5,14.27,74.02,0.79,42.86,16.44,28.2,0.06,0.0,0.0,0.0,0.0,0.22,1.46,69.23,1.24,36.36,0.0,0.0,0.34,0.34,1.12,70.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.34,0.34,33.33,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
2,Adrián Mancebo,Salamanca CF UDS,Salamanca CF UDS,"RAMF, RW, LCMF",30,250000,2026-06-30,10,656,1,0.82,1,0.83,15.23,41.44,Spain,Spain,izquierdo,171,72,no,5.76,4.94,58.33,0.14,0.0,0.27,0.41,0.14,2.61,3.93,1.23,5,0.69,0,0.0,1.78,0.14,0,0.0,0.11,0,0.0,4,0.55,25.0,25.0,0.14,1.92,57.14,0.55,50.0,1.37,60.0,0.14,1.65,33.33,8.37,32.79,1.51,1.65,0.41,34.44,1.51,1.37,45.69,82.58,12.9,71.28,9.88,93.06,13.86,83.17,39.92,86.6,3.84,53.57,17.78,32.69,0.11,0.14,0.0,0.0,0.0,0.27,7.82,75.44,3.7,55.56,0.55,75.0,1.51,1.1,7.82,80.7,0,,0,,0,0.0,0.0,0.0,,,0.14,,0.69,0.14,0.0,0.27,1,100.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
3,P. Servetti,Salamanca CF UDS,Salamanca CF UDS,CF,30,250000,2026-06-30,11,656,0,2.84,1,0.57,18.93,36.96,Uruguay,Uruguay,derecho,180,78,no,3.7,2.88,52.38,7.68,37.5,0.0,0.0,0.0,2.2,3.38,1.78,1,0.14,0,0.0,1.23,0.0,0,0.0,0.39,0,0.0,9,1.23,55.56,0.0,0.14,0.55,50.0,0.27,0.0,0.14,100.0,0.14,0.41,66.67,4.66,26.47,2.74,0.14,0.0,8.23,2.2,1.23,13.03,78.95,2.47,61.11,3.43,100.0,2.61,73.68,12.21,82.02,0.41,33.33,15.8,14.85,0.08,0.14,0.0,0.0,0.0,0.27,1.65,41.67,0.55,50.0,0.0,0.0,0.41,0.27,1.23,77.78,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,1,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/5796.png,Delantero,2026-08-01 16:29:15.671466
4,J. González,Numancia,Numancia,CF,26,250000,2026-06-30,24,1879,12,11.82,1,0.92,18.63,36.5,Spain,Spain,derecho,191,82,no,3.07,1.25,73.08,6.8,42.96,0.05,0.07,0.05,2.11,2.96,0.53,3,0.14,0,0.0,1.87,0.57,11,0.53,0.57,3,0.14,62,2.97,41.94,19.355,0.05,0.67,21.43,0.34,28.57,0.34,14.29,0.14,1.2,40.0,6.75,28.37,3.88,0.48,0.0,10.59,2.39,1.2,13.51,65.6,2.73,52.63,3.3,82.61,4.17,64.37,12.21,68.24,0.72,53.33,15.73,17.7,0.04,0.05,0.0,0.05,0.0,0.24,1.2,44.0,0.96,40.0,0.05,0.0,0.43,0.24,1.29,70.37,0,,0,,0,0.0,0.0,0.0,,,0.05,,0.0,0.0,0.0,0.0,2,50.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
5,D. González,Bergantiños,Bergantiños,"RCMF, LDMF, RDMF",26,200000,2026-06-30,20,1625,1,1.05,0,0.22,24.31,50.57,Spain,Spain,derecho,177,66,no,11.35,10.8,66.67,3.38,31.15,0.33,0.38,0.06,3.82,4.35,2.22,4,0.22,0,0.0,0.89,0.06,1,0.06,0.06,1,0.06,13,0.72,30.77,7.692,0.0,0.61,18.18,0.17,33.33,0.39,14.29,0.06,0.89,56.25,7.09,42.97,1.05,0.78,0.06,26.58,0.39,1.72,41.98,81.27,11.69,65.88,8.58,94.19,13.4,85.95,38.38,85.14,2.99,44.44,15.58,28.97,0.01,0.11,0.06,0.06,100.0,0.11,4.87,60.23,0.83,33.33,0.11,100.0,0.33,0.11,5.04,61.54,0,,0,,0,0.0,0.0,0.0,,,0.55,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
6,I. Novo,Bergantiños,Bergantiños,"LCMF, AMF, CF",27,200000,2026-06-30,23,2203,0,1.75,4,3.64,23.37,48.25,Spain,Spain,derecho,0,0,no,6.25,6.13,58.67,1.14,35.71,0.12,0.15,0.0,2.53,3.01,1.14,6,0.25,0,0.0,3.51,0.0,0,0.0,0.07,0,0.0,25,1.02,32.0,0.0,0.16,2.17,37.74,1.18,41.38,0.94,30.43,0.2,3.8,56.99,13.65,45.51,1.63,3.64,0.65,33.09,1.47,2.17,49.35,79.47,17.32,67.69,9.93,93.42,15.61,84.29,40.53,86.19,6.74,52.73,18.72,32.77,0.15,0.04,0.0,0.41,50.0,0.82,10.25,66.93,4.33,52.83,1.47,41.67,1.88,0.74,8.82,79.63,0,,0,,0,0.0,0.0,0.0,,,0.2,,0.33,0.04,0.0,0.49,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
7,Ramón Riego,Lealtad,Lealtad,"LB, RB",30,200000,2026-06-30,3,243,1,0.11,0,0.31,,,Spain,Spain,derecho,174,71,no,,,,,,,1.84,,,6.12,,1,,0,,,,1,,,0,,2,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.53,35.27,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
8,Juancho Victoria,Numancia,Numancia,"LW, LAMF, CF",30,200000,2026-06-30,24,1955,5,4.43,2,1.52,28.27,37.62,Colombia,Colombia,derecho,185,75,no,5.75,5.94,61.24,1.84,22.5,0.32,0.44,0.05,1.8,2.44,1.52,3,0.14,0,0.0,3.41,0.23,5,0.23,0.2,0,0.0,51,2.35,39.22,9.804,0.09,1.57,41.18,1.29,50.0,0.28,0.0,0.18,3.96,46.51,16.48,32.68,2.21,2.16,0.28,18.23,1.84,2.03,28.96,80.92,6.4,71.22,7.55,85.98,8.65,80.32,26.19,84.01,1.24,62.96,16.29,24.5,0.07,0.09,0.05,0.05,0.0,0.55,2.9,74.6,2.26,57.14,0.18,0.0,0.97,0.6,3.04,77.27,0,,0,,0,0.0,0.0,0.0,,,0.14,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/8258.png,Extremo,2026-08-01 16:29:15.671466
9,Ó. de Frutos,Numancia,Numancia,RCB,27,200000,2026-06-30,23,1902,0,1.38,0,0.26,11.97,64.03,Spain,Spain,derecho,182,77,no,8.94,5.3,75.0,3.74,53.16,0.52,0.73,0.38,4.45,6.25,0.71,3,0.14,2,0.09,0.43,0.0,0,0.0,0.07,0,0.0,9,0.43,33.33,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.05,0.43,66.67,1.28,59.26,0.76,1.04,0.0,28.49,0.14,0.8,43.63,84.49,16.18,67.25,2.22,95.74,22.62,96.23,36.58,91.72,6.96,47.62,22.85,33.93,0.01,0.0,0.0,0.0,0.0,0.0,5.96,59.52,0.9,21.05,0.33,14.29,0.24,0.05,7.9,67.07,0,,0,,0,0.0,0.0,0.0,,,1.99,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
